S,I,R
1,1.66667e-08,0
1,2.41667e-08,4.16667e-10
1,3.50417e-08,1.02083e-09
1,5.08104e-08,1.89687e-09
1,7.36751e-08,3.16714e-09
1,1.06829e-07,5.00901e-09
1,1.54902e-07,7.67974e-09
1,2.24608e-07,1.15523e-08
1,3.25681e-07,1.71675e-08
1,4.72238e-07,2.53095e-08
0.999999,6.84744e-07,3.71154e-08
0.999999,9.92879e-07,5.42341e-08
0.999998,1.43967e-06,7.9056e-08
0.999998,2.08753e-06,1.15048e-07
0.999997,3.02691e-06,1.67236e-07
0.999995,4.38901e-06,2.42909e-07
0.999993,6.36405e-06,3.52634e-07
0.99999,9.22784e-06,5.11735e-07
0.999986,1.33803e-05,7.42431e-07
0.99998,1.94013e-05,1.07694e-06
0.99997,2.81316e-05,1.56197e-06
0.999957,4.07903e-05,2.26526e-06
0.999938,5.91447e-05,3.28502e-06
0.999909,8.57572e-05,4.76364e-06
0.999869,0.000124343,6.90757e-06
0.99981,0.000180285,1.00161e-05
0.999724,0.00026139,1.45233e-05
0.9996,0.000378964,2.1058e-05
0.99942,0.000549392,3.05321e-05
0.999159,0.000796396,4.42669e-05
0.998782,0.00115431,6.41768e-05
0.998234,0.00167276,9.30344e-05
0.997442,0.00242343,0.000134853
0.996295,0.00350964,0.000195439
0.994637,0.00507987,0.00028318
0.992243,0.00734674,0.000410177
0.988793,0.0106129,0.000593845
0.983835,0.0153054,0.000859167
0.976739,0.0220197,0.0012418
0.966638,0.03157,0.00179229
0.952379,0.0450392,0.00258154
0.932487,0.0638055,0.00370752
0.905195,0.0895026,0.00530266
0.868621,0.123839,0.00754023
0.821186,0.168178,0.0106362
0.762353,0.222807,0.0148406
0.693584,0.286005,0.0204108
0.619077,0.353362,0.0275609
0.545453,0.418152,0.036395
0.479879,0.473272,0.0468488
0.427386,0.513933,0.0586806
0.389268,0.539204,0.0715289
0.363662,0.551329,0.085009
0.347363,0.553845,0.0987922
0.337308,0.550053,0.112638
0.331194,0.542416,0.12639
0.327486,0.532564,0.13995
0.325228,0.521508,0.153264
0.323841,0.509857,0.166302
0.32298,0.497972,0.179048
0.322439,0.486063,0.191498
0.322095,0.474255,0.203649
0.321874,0.46262,0.215506
0.32173,0.451199,0.227071
0.321635,0.440014,0.238351
0.321571,0.429077,0.249351
0.321528,0.418393,0.260078
0.321499,0.407963,0.270538
0.321479,0.397784,0.280737
0.321465,0.387853,0.290682
0.321455,0.378167,0.300378
0.321448,0.36872,0.309832
0.321443,0.359507,0.31905
0.321439,0.350523,0.328038
0.321437,0.341762,0.336801
0.321435,0.33322,0.345345
0.321433,0.324891,0.353676
0.321432,0.31677,0.361798
0.321431,0.308851,0.369717
0.321431,0.301131,0.377438
0.32143,0.293603,0.384967
0.32143,0.286263,0.392307
0.32143,0.279107,0.399463
0.321429,0.272129,0.406441
0.321429,0.265326,0.413244
0.321429,0.258693,0.419877
0.321429,0.252226,0.426345
0.321429,0.245921,0.43265
0.321429,0.239773,0.438798
0.321429,0.233778,0.444793
0.321429,0.227934,0.450637
0.321429,0.222236,0.456336
0.321429,0.21668,0.461891
0.321429,0.211263,0.467308
0.321429,0.205981,0.47259
0.321429,0.200832,0.47774
0.321429,0.195811,0.48276
0.321429,0.190916,0.487656
0.321429,0.186143,0.492429
0.321429,0.181489,0.497082
0.321429,0.176952,0.501619
0.321429,0.172528,0.506043
0.321429,0.168215,0.510356
0.321429,0.16401,0.514562
0.321429,0.159909,0.518662
0.321429,0.155912,0.52266
0.321429,0.152014,0.526557
0.321429,0.148214,0.530358
0.321429,0.144508,0.534063
0.321429,0.140896,0.537676
0.321429,0.137373,0.541198
0.321429,0.133939,0.544633
0.321429,0.13059,0.547981
0.321429,0.127326,0.551246
0.321429,0.124142,0.554429
0.321429,0.121039,0.557533
0.321429,0.118013,0.560558
0.321429,0.115063,0.563509
0.321429,0.112186,0.566385
0.321429,0.109381,0.56919
0.321429,0.106647,0.571925
0.321429,0.103981,0.574591
0.321429,0.101381,0.57719
0.321429,0.0988466,0.579725
0.321429,0.0963755,0.582196
0.321429,0.0939661,0.584605
0.321429,0.0916169,0.586954
0.321429,0.0893265,0.589245
0.321429,0.0870934,0.591478
0.321429,0.084916,0.593655
0.321429,0.0827931,0.595778
0.321429,0.0807233,0.597848
0.321429,0.0787052,0.599866
0.321429,0.0767376,0.601834
0.321429,0.0748191,0.603752
0.321429,0.0729487,0.605623
0.321429,0.0711249,0.607446
0.321429,0.0693468,0.609225
0.321429,0.0676131,0.610958
0.321429,0.0659228,0.612649
0.321429,0.0642748,0.614297
0.321429,0.0626679,0.615904
0.321429,0.0611012,0.61747
0.321429,0.0595737,0.618998
0.321429,0.0580843,0.620487
0.321429,0.0566322,0.621939
0.321429,0.0552164,0.623355
0.321429,0.053836,0.624735
0.321429,0.0524901,0.626081
0.321429,0.0511778,0.627394
