S,I,R
1,1.66667e-08,0
1,2.41667e-08,2.08333e-09
1,3.50417e-08,5.10417e-09
1,5.08104e-08,9.48437e-09
1,7.36751e-08,1.58357e-08
1,1.06829e-07,2.50451e-08
1,1.54902e-07,3.83987e-08
1,2.24608e-07,5.77614e-08
1,3.25681e-07,8.58374e-08
0.999999,4.72238e-07,1.26548e-07
0.999999,6.84744e-07,1.85577e-07
0.999999,9.92879e-07,2.7117e-07
0.999998,1.43967e-06,3.9528e-07
0.999997,2.08752e-06,5.75239e-07
0.999996,3.02691e-06,8.3618e-07
0.999994,4.38901e-06,1.21454e-06
0.999992,6.36404e-06,1.76317e-06
0.999988,9.22782e-06,2.55867e-06
0.999983,1.33803e-05,3.71215e-06
0.999975,1.94012e-05,5.38469e-06
0.999964,2.81314e-05,7.80984e-06
0.999948,4.07899e-05,1.13263e-05
0.999924,5.91439e-05,1.6425e-05
0.99989,8.57555e-05,2.3818e-05
0.999841,0.000124339,3.45374e-05
0.99977,0.000180277,5.00798e-05
0.999666,0.000261373,7.26145e-05
0.999516,0.00037893,0.000105286
0.999298,0.00054932,0.000152652
0.998982,0.000796244,0.000221317
0.998525,0.00115399,0.000320848
0.997863,0.00167209,0.000465096
0.996904,0.00242203,0.000674108
0.995516,0.00350669,0.000976861
0.993511,0.0050737,0.0014152
0.990617,0.00733382,0.00204941
0.986448,0.0105859,0.00296614
0.980462,0.0152491,0.00428937
0.971902,0.0219026,0.00619551
0.959739,0.031328,0.00893333
0.942608,0.0445427,0.0128493
0.918785,0.0627974,0.0184172
0.886247,0.0874862,0.0262668
0.842909,0.119889,0.0372026
0.787156,0.160655,0.0521887
0.718716,0.209014,0.0722706
0.639687,0.261915,0.0983973
0.555146,0.313717,0.131137
0.472449,0.357199,0.170351
0.398968,0.38603,0.215001
0.339412,0.397333,0.263255
0.294677,0.392401,0.312922
0.262785,0.375243,0.361972
0.240665,0.350458,0.408877
0.225432,0.321884,0.452684
0.214873,0.292207,0.49292
0.207448,0.263106,0.529446
0.20213,0.235536,0.562334
0.198246,0.209978,0.591776
0.195354,0.186623,0.618023
0.193161,0.165487,0.641351
0.191471,0.146492,0.662037
0.190148,0.129503,0.680349
0.189099,0.114365,0.696536
0.188256,0.100912,0.710832
0.187572,0.0889819,0.723446
0.187011,0.0784198,0.734569
0.186548,0.0690806,0.744371
0.186162,0.0608313,0.753006
0.185839,0.0535506,0.76061
0.185567,0.0471292,0.767304
0.185336,0.0414688,0.773195
0.18514,0.0364816,0.778379
0.184972,0.0320891,0.782939
0.184828,0.0282218,0.78695
0.184704,0.0248176,0.790478
0.184598,0.021822,0.79358
0.184506,0.0191863,0.796308
0.184426,0.0168677,0.798706
0.184357,0.0148284,0.800815
0.184297,0.0130349,0.802668
0.184245,0.0114578,0.804297
0.184199,0.010071,0.80573
0.18416,0.00885184,0.806989
0.184125,0.00777999,0.808095
0.184095,0.00683773,0.809068
0.184068,0.00600945,0.809922
0.184045,0.00528139,0.810673
0.184025,0.00464146,0.811334
0.184007,0.00407899,0.811914
0.183992,0.00358464,0.812424
0.183978,0.00315016,0.812872
0.183966,0.00276831,0.813266
0.183956,0.00243273,0.813612
0.183947,0.00213781,0.813916
0.183938,0.00187862,0.814183
0.183931,0.00165085,0.814418
0.183925,0.00145069,0.814624
0.18392,0.00127479,0.814805
0.183915,0.00112021,0.814965
0.183911,0.000984378,0.815105
0.183907,0.00086501,0.815228
0.183904,0.000760115,0.815336
0.183901,0.000667938,0.815431
0.183899,0.000586937,0.815514
0.183896,0.000515759,0.815588
0.183894,0.000453211,0.815652
0.183893,0.000398249,0.815709
0.183891,0.000349951,0.815759
0.18389,0.00030751,0.815802
0.183889,0.000270216,0.815841
0.183888,0.000237445,0.815875
0.183887,0.000208648,0.815904
0.183886,0.000183344,0.81593
0.183886,0.000161108,0.815953
0.183885,0.000141569,0.815974
0.183884,0.000124399,0.815991
0.183884,0.000109312,0.816007
0.183884,9.60543e-05,0.81602
0.183883,8.44047e-05,0.816032
0.183883,7.4168e-05,0.816043
0.183883,6.51727e-05,0.816052
0.183882,5.72684e-05,0.81606
0.183882,5.03228e-05,0.816068
0.183882,4.42195e-05,0.816074
0.183882,3.88564e-05,0.816079
0.183882,3.41438e-05,0.816084
0.183882,3.00028e-05,0.816088
0.183881,2.63639e-05,0.816092
0.183881,2.31664e-05,0.816096
0.183881,2.03567e-05,0.816098
0.183881,1.78878e-05,0.816101
0.183881,1.57183e-05,0.816103
0.183881,1.3812e-05,0.816105
0.183881,1.21368e-05,0.816107
0.183881,1.06648e-05,0.816108
0.183881,9.37134e-06,0.81611
0.183881,8.23475e-06,0.816111
0.183881,7.23601e-06,0.816112
0.183881,6.35841e-06,0.816113
0.183881,5.58724e-06,0.816114
0.183881,4.9096e-06,0.816114
0.183881,4.31414e-06,0.816115
0.183881,3.79091e-06,0.816116
0.183881,3.33113e-06,0.816116
0.183881,2.92712e-06,0.816116
0.183881,2.57211e-06,0.816117
0.183881,2.26016e-06,0.816117
0.183881,1.98604e-06,0.816117
0.183881,1.74516e-06,0.816118
