S,I,R
1,1.66667e-08,0
1,2.41667e-08,4.16667e-09
1,3.50417e-08,1.02083e-08
1,5.08104e-08,1.89687e-08
1,7.36751e-08,3.16714e-08
1,1.06829e-07,5.00901e-08
1,1.54902e-07,7.67973e-08
1,2.24608e-07,1.15523e-07
1,3.25681e-07,1.71675e-07
0.999999,4.72237e-07,2.53095e-07
0.999999,6.84744e-07,3.71154e-07
0.999998,9.92878e-07,5.4234e-07
0.999998,1.43967e-06,7.9056e-07
0.999997,2.08752e-06,1.15048e-06
0.999995,3.0269e-06,1.67236e-06
0.999993,4.389e-06,2.42908e-06
0.99999,6.36403e-06,3.52634e-06
0.999986,9.2278e-06,5.11734e-06
0.999979,1.33802e-05,7.42429e-06
0.99997,1.94011e-05,1.07693e-05
0.999956,2.81312e-05,1.56196e-05
0.999937,4.07894e-05,2.26524e-05
0.999908,5.91428e-05,3.28498e-05
0.999867,8.57533e-05,4.76355e-05
0.999807,0.000124334,6.90738e-05
0.99972,0.000180268,0.000100157
0.999593,0.000261353,0.000145224
0.999411,0.000378887,0.000210563
0.999145,0.00054923,0.000305284
0.998761,0.000796056,0.000442592
0.998205,0.00115359,0.000641606
0.997399,0.00167126,0.000930003
0.996232,0.00242028,0.00134782
0.994544,0.00350302,0.00195289
0.992105,0.005066,0.00282864
0.988587,0.0073177,0.00409514
0.983523,0.0105522,0.00592457
0.976258,0.015179,0.00856262
0.965885,0.0217573,0.0123574
0.951175,0.0310285,0.0177967
0.930515,0.0439308,0.0255538
0.901901,0.0615629,0.0365365
0.863034,0.0850388,0.0519273
0.81166,0.115153,0.073187
0.746234,0.15179,0.101975
0.666945,0.193133,0.139923
0.576779,0.235016,0.188206
0.481892,0.271148,0.24696
0.390427,0.294826,0.314747
0.309852,0.301695,0.388453
0.244415,0.291708,0.463877
0.194507,0.268689,0.536804
0.157923,0.2381,0.603976
0.131602,0.204896,0.663501
0.112727,0.172548,0.714725
0.0991114,0.143026,0.757862
0.0891885,0.117193,0.793619
0.0818719,0.095211,0.822917
0.0764154,0.0768648,0.84672
0.0723038,0.0617602,0.865936
0.069178,0.049446,0.881376
0.0667836,0.0394789,0.893738
0.064938,0.0314547,0.903607
0.0635082,0.0250209,0.911471
0.0623958,0.019878,0.917726
0.0615276,0.0157767,0.922696
0.0608481,0.012512,0.92664
0.0603152,0.00991694,0.929768
0.0598965,0.00785641,0.932247
0.0595671,0.0062217,0.934211
0.0593077,0.0049257,0.935767
0.0591032,0.00389877,0.936998
0.0589419,0.00308538,0.937973
0.0588146,0.00244133,0.938744
0.0587141,0.00193151,0.939354
0.0586347,0.00152802,0.939837
0.058572,0.00120873,0.940219
0.0585224,0.000956106,0.940521
0.0584832,0.000756247,0.940761
0.0584523,0.000598145,0.94095
0.0584278,0.000473083,0.941099
0.0584085,0.000374161,0.941217
0.0583932,0.000295918,0.941311
0.0583811,0.000234035,0.941385
0.0583715,0.00018509,0.941443
0.0583639,0.00014638,0.94149
0.058358,0.000115766,0.941526
0.0583532,9.15533e-05,0.941555
0.0583495,7.24047e-05,0.941578
0.0583465,5.72609e-05,0.941596
0.0583442,4.52843e-05,0.941611
0.0583423,3.58127e-05,0.941622
0.0583409,2.83221e-05,0.941631
0.0583397,2.23982e-05,0.941638
0.0583388,1.77134e-05,0.941643
0.0583381,1.40084e-05,0.941648
0.0583375,1.10783e-05,0.941651
0.0583371,8.76115e-06,0.941654
0.0583367,6.92863e-06,0.941656
0.0583364,5.47941e-06,0.941658
0.0583362,4.33331e-06,0.941659
0.058336,3.42694e-06,0.941661
0.0583359,2.71014e-06,0.941661
0.0583358,2.14328e-06,0.941662
0.0583357,1.69498e-06,0.941663
0.0583356,1.34045e-06,0.941663
0.0583356,1.06007e-06,0.941663
0.0583355,8.38343e-07,0.941664
0.0583355,6.62991e-07,0.941664
0.0583355,5.24316e-07,0.941664
0.0583354,4.14647e-07,0.941664
0.0583354,3.27918e-07,0.941664
0.0583354,2.59329e-07,0.941664
0.0583354,2.05086e-07,0.941664
0.0583354,1.62189e-07,0.941664
0.0583354,1.28265e-07,0.941664
0.0583354,1.01436e-07,0.941665
0.0583354,8.02194e-08,0.941665
0.0583354,6.34403e-08,0.941665
0.0583354,5.01708e-08,0.941665
0.0583354,3.96768e-08,0.941665
0.0583354,3.13778e-08,0.941665
0.0583354,2.48146e-08,0.941665
0.0583354,1.96243e-08,0.941665
0.0583354,1.55196e-08,0.941665
0.0583354,1.22734e-08,0.941665
0.0583353,9.70624e-09,0.941665
0.0583353,7.67603e-09,0.941665
0.0583353,6.07047e-09,0.941665
0.0583353,4.80074e-09,0.941665
0.0583353,3.79659e-09,0.941665
0.0583353,3.00248e-09,0.941665
0.0583353,2.37446e-09,0.941665
0.0583353,1.87781e-09,0.941665
0.0583353,1.48504e-09,0.941665
0.0583353,1.17442e-09,0.941665
0.0583353,9.2877e-10,0.941665
0.0583353,7.34504e-10,0.941665
0.0583353,5.80871e-10,0.941665
0.0583353,4.59373e-10,0.941665
0.0583353,3.63288e-10,0.941665
0.0583353,2.87301e-10,0.941665
0.0583353,2.27208e-10,0.941665
0.0583353,1.79684e-10,0.941665
0.0583353,1.421e-10,0.941665
0.0583353,1.12378e-10,0.941665
0.0583353,8.88722e-11,0.941665
0.0583353,7.02832e-11,0.941665
0.0583353,5.55824e-11,0.941665
0.0583353,4.39565e-11,0.941665
